52ø9?57?,ÿ4ø42?00?
52ø08?25?,ÿ4ø43?40?
51ø50?55?,ÿ4ø14?35?
51ø58?45?,ÿ4ø21?20?
51ø58?00?,ÿ4ø41?55?
51ø49?10?,ÿ4ø34?55?
52ø08?00?,ÿ4ø33?00?
51ø41?15?,ÿ4ø16?45?
52ø08?50?,ÿ4ø51?25?
51ø52?00?,ÿ4ø39?40?
52ø08?05?,ÿ4ø39?35?
51ø55?40?,ÿ4ø48?30?
51ø51?50?,ÿ4ø59?40?
52ø16?40?,ÿ4ø34?15?
52ø00?20?,ÿ4ø11?20?
51ø49?30?,ÿ4ø44?35?
51ø51?25?,ÿ4ø32?05?
51ø50?10?,ÿ4ø31?45?
51ø42?25?,ÿ4ø07?45?
51ø50?00?,ÿ4ø23?45?
51ø56?15?,ÿ4ø45?30?
52ø00?05?,ÿ4ø45?15?
51ø57?25?,ÿ4ø43?55?
51ø58?05?,ÿ4ø45?15?
52ø06?20?,ÿ4ø33?25?
52ø04?40?,ÿ4ø32?40?
51ø56?05?,ÿ4ø47?10?
51ø59?25?,ÿ4ø29?55?
51ø55?20?,ÿ4ø47?05?
51ø59?00?,ÿ4ø29?00?
51ø59?30?,ÿ4ø28?20?
51ø56?40?,ÿ4ø42?25?
51ø50?15?,ÿ4ø17?10?
52ø12?45?,ÿ4ø43?30?
51ø48?55?,ÿ4ø30?40?
51ø58?55?,ÿ4ø16?15?
52ø00?40?,ÿ4ø31?55?
51ø52?20?,ÿ4ø47?00?
52ø03?00?,ÿ4ø41?00?
52ø12?45?,ÿ4ø47?00?
52ø04?55?,ÿ4ø45?00?
51ø53?45?,ÿ4ø34?45?
51ø45?55?,ÿ4ø24?35?
51ø57?50?,ÿ4ø50?40?
52ø04?30?,ÿ4ø39?20?
51ø57?20?,ÿ4ø49?40?
52ø00?30?,ÿ4ø47?40?
51ø49?25?,ÿ4ø52?55?
51ø58?30?,ÿ4ø47?15?
51ø53?25?,ÿ4ø48?50?
51ø54?05?,ÿ4ø09?45?
51ø58?05?,ÿ4ø15?40?
51ø55?45?,ÿ4ø34?40?
51ø51?00?,ÿ4ø31?00?
51ø46?25?,ÿ4ø32?50?
51ø49?40?,ÿ5ø00?35?
51ø53?35?,ÿ4ø47?15?
52ø00?45?,ÿ4ø15?00?
52ø14?30?,ÿ4ø32?15?
51ø56?35?,ÿ4ø49?50?
51ø55?00?,ÿ4ø45?00?
51ø51?00?,ÿ4ø18?00?
52ø13?15?,ÿ4ø26?25?
